device_make	device_model	_col2
samsung	SM-A720S	61
Hisense	Hisense E60	216
OPPO	PKP110	58
incar	L381	181
Blackview	BV4800 SE	127
Ulefone	Armor 24	182
realme	RMX3478	34
VIVIMAGE	E10	16
LGE	LM-G710N	30
Teclast	P80T_EEA	62
SHARP	SHV47	49
EL	Pad-S11	5
samsung	SM-N935S	172
vivo	V2172A	1
Alldocube	X_Game	39
Hisense	Hisense U60 Lite	1
Sony	E6553	13
acer	ACTAB10KB24	66
LGE	A001LG	109
LENOVO	Lenovo TB-8505XS	18
CCIT	KT300Pro	2
incar	Signature-S8	21
weelikeit	P11W_EEA	9
nubia	NX627J	15
vivo	V1831A	36
Ruufuuxy	R16Max	25
RAVOZ	RAVOZ Z5 Lite	14
Amlogic	TX6	7
vivo	V2284A	1
Xiaomi	23078RKD5C	6
P37	P37	6
incar	B610A115	1
ZTE	ZTE 8140N	2
HONOR	ALT-LX2	12302
samsung	SM-N980F	5498
incar	CP20_Pro	219
ITEL	itel S666LN	631
samsung	SM-N981U1	2839
Xiaomi	M2101K7BNY	29857
samsung	SM-A205U	1584
ITEL	itel C671L	403
samsung	SCV45	576
HOTWAV	Note 13 Max	809
PRITOM	TOUCH 7 pro	242
HMD Global	Nokia 2.4	272
TECNO MOBILE LIMITED	TECNO CH7n	2521
HUAWEI	EVR-N29	248
HMD Global	Nokia G50	275
TECNO	TECNO CL7s	72
OPPO	PHM110	10
incar	L10	225
SHARP	A402SH	249
OBLUE	TANK2	317
reeder	S19 Max Pro S Zoom	201
unknown	Phh-Treble vanilla	218
DIGMA	Digma Pro HIT 104 HS1008PL	76
HTC	HTC 2Q55100	33
FCNT	M07	605
Crosscall	Core-X4	495
DOOGEE	S200 X	157
Xiaomi	21091116AC	133
HONOR	WDY-AN00	126
TRECFONE	V35	54
Daria	DM-B51104	20
HUAWEI	SCM-AL09	56
ACEPAD	A131	22
Sony	XQ-DE72	26
nubia	NX789J	40
Teclast	M50HD_EEA	91
SNCOIA	QT22101B	72
Ulefone	Armor 27	1
KENSHI	E38	27
HELLCAT	TAB11GT	4
Cherry_Mobile	Aqua Tab Ultra	22
TECNO MOBILE LIMITED	TECNO CD6j	22
samsung	SM-T285	17
DOOGEE	T20Mini	44
ZUUM	AURA PLUS JLO	2
KMG FUEGUINA S.A.	PIXPRO L1 PRO	15
LENOVO	Lenovo TB-X605M	33
LeMobile	Android phone	3
alps	8227L_demo	3
iPhone	iPhone 15 Pro Max	3
Sony	SO-01J	5
Lingbo	L23	1
HUAWEI	BTKR-W00	2
Pad Pro 6	Pad Pro 6	8
EASYTECH	E1035	8
LGE	LG-V755	2
PHILCO	F11	2
samsung	Galaxy J6+	1
NUU	S6304L	3
EG-X10	EG-X10	1
QYJ	X95PRO	2
alps	Mate13pro	1
Samsung	Galaxy Tab PRO 10	1
samsung	SM-S908U	17689
samsung	SM-F936B	5230
samsung	SM-N986B	5667
LGE	LM-K420	1629
vivo	V2343	1664
OPPO	CPH2629	6403
INFINIX	Infinix X669C	7234
vivo	V2230	2871
Sony	SO-51A	1128
Xiaomi	24044RN32L	3499
Blackview	Tab 60 WiFi	2851
HONOR	LGE-NX9	1148
samsung	SC-54A	1349
LAVA	LXX513	664
samsung	SM-S938N	790
Xiaomi	M2007J22C	36
TECNO MOBILE LIMITED	TECNO KG7h	167
Deejoy	M7_EEA	20
samsung	SM-X205C	230
CHUWI	Hi10 XPro	578
WALTON	ZENX 1	45
KXD	A07	374
Blackview	A52	113
MARVUE	M15	156
TECNO	TECNO AE11	641
Teclast	TLG01_EEA	326
I TOUCH	S1001	3
Blackview	HERO 10	67
OnePlus	CPH2417	32
Xiaomi	Redmi Note 5A Prime	396
Sony	XQ-CC44	457
NUU	S6704L	156
OPPO	PKM110	47
wheatek	WP20 Pro	112
WALTON	Primo N5	42
OALE	POP 8	60
HTC	HTC U12 life	188
LENOVO	Lenovo TB-8504X	18
ZTE	K88	11
Haier	HM-N700-FL	24
Blackview	A100	129
ZTE	Nubia 6010	2
LEXIBOOK	LT10_01_EEA	6
Xiaomi	2405CPX3DG	30
asus	ASUS_X017D	4
Xiaomi	AVIATOR	2
ZS104	ZS104	2
google	Pixel C	4
Me Mobile	Grace 10	6
HotPepper	Stylo 7plus	1
Reliance Communications	RC608L	2
Mobicel	P6	7
Mintt	COOLMINTT X9	2
TECLAST	M40	9
reeder	P13_Max_Blue	5
Pad 55 Ultra	Pad 55 Ultra	3
Maze_Speed	SSB8C223	2
TINNO	U655AC	1012
motorola	moto g power - 2025	3211
OPPO	CPH2119	6810
vivo	vivo 1804	2289
motorola	moto e(7) plus	11691
HUAWEI	VOG-L04	1734
HONOR	DNP-NX9	654
samsung	SM-F9560	135
INFINIX MOBILITY LIMITED	Infinix X626B	670
Alldocube	iPlay60_mini_Pro	931
Xiaomi	21061110AG	2835
XQ38	XQ38	230
TCL	T790Z	218
SHARP	SH-M15	122
LENOVO	LET02	155
samsung	SM-A136U1	619
Xiaomi	lancelot	663
AGNO	TA_G717	80
vivo	V2020A	205
samsung	SM-A326W	542
LAVA	LAVA Z3 UP 2	356
samsung	SM-A426N	175
ITEL MOBILE LIMITED	itel S661LN	122
HUAWEI	DUA-LX9	231
Symphony	ATOM 5	176
DMOAO	D3_EEA	103
hoco.	HOCO_A12	14
CUBOT	J20	73
incar	DMOAO_D2_EEA	59
samsung	SM-A3050	101
OSCAL	TIGER 10	89
incar	Hpad2	48
S25 Ultra	S25 Ultra	66
HOTWAV	TAB R9 Pro	47
Xiaomi	Redmi Note 5A	176
Kruger_Matz	KM1069	104
AVIDPAD	A30	11
TECNO	TECNO AD11	49
WIKO	W-P611-EEA	29
OnePlus	OPD2404	20
bnd	Proton_Neon_Pro	6
Xiaomi	MI 6X	36
blackshark	SHARK KLE-H0	12
AOSP	i15 Pro	11
motorola	Moto G (5S)	11
THIRDWAVE	ToughDroid	34
HUAWEI	VKY-L09	17
TCL	6165S	10
Xiaomi	AC2001	1
EVEREST-EVERPAD	DC-8015	15
BOBARRY	BOBARRY	3
Wingtech	WTCKT01	1
HONOR	REA-NX9	15507
HUAWEI	MAR-LX3A	7057
samsung	SC-01K	833
motorola	moto g73 5G	5276
samsung	SM-A3660	32
Xiaomi	22087RA4DI	676
Micromax	IN_Note1	275
ZTE	ZTE Blade A5 2020	1049
samsung	SM-A716U	3763
FUJITSU	F-04K	224
EagleSoar	Z_766A_EEA	51
motorola	moto g fast	405
Symphony	G26	9
samsung	SM-G970W	876
Xiaomi	220733SH	138
ViKusha	V-Z70Plus	139
wheatek	A95	733
TECNO MOBILE LIMITED	TECNO CD6	332
HUAWEI	DBR-W19	90
HUAWEI	BTK-W00	29
OUKITEL	OT5 S	169
Sony	SOV38	238
UJJ	U6_EEA	81
Meizu	MEIZU M6	142
ODYS	SPACE_ONE10	87
DIGMA	Optima 8404D 4G TS8288PL	16
Casper	VIA F30	120
incar	LeoPad_10S	15
HUAWEI	NOH-AN00	6
incar	The_Leader_Tab9_3G	7
incar	H1Pro	20
OANGCC	Tab-A8	17
CUBOT	P50	11
Deejoy	EW2021	1
SHARP	SH-C02	26
incar	L8_EEA	4
ZTE	ZTE 8000	5
Dghrti	TAB50_EEA	16
alps	SPARK 20 Pro	3
CCIT	S16Max	2
HUAWEI	LIO-AN00	1
rockchip	rk3568_r	1
vivo	vivo 1908_19	1
SHARP	SH-C06	1
samsung	SM-T505N	16902
Xiaomi	23128PC33I	9360
INFINIX MOBILITY LIMITED	Infinix X692	3493
samsung	SM-E066B	1346
samsung	SCG01	931
motorola	motorola razr plus 2024	1196
WingTech	WTATTRW2	44
Xiaomi	M2011K2G	534
Xiaomi	Mi A1	3617
TCL	T671E	275
wheatek	RT3 Pro	70
SMART	U4	92
TECNO MOBILE LIMITED	TECNO KC2	1040
TECNO MOBILE LIMITED	TECNO LA7	133
SSH Telecom SMC (Pvt.) Ltd	Flex 2	314
motorola	motorola edge plus 2023	206
vivo	V1962A	152
motorola	motorola razr plus 2023	243
KYOCERA	E7110	55
HUAWEI	DUB-LX2	265
samsung	SM-S237VL	476
incar	MID-104GB-968	8
samsung	SM-T975N	243
vivo	V2034A	29
TCL	T609V	196
motorola	moto e	484
Wingtech	T Phone Pro (2023)	528
WIKO	W-K610-SUI	30
YEZZ	MAX2 PLUS	31
FEONAL	D115	5
incar	P30S_EEA	360
Fortune Ship	HTC A102	209
HUAWEI	AGS-L09	66
VASOUN	L10-T11-EEA	159
KYOCERA	A101KC	83
Kinstone	TBX11	55
Meizu	meizu X8	34
Meizu	meizu C9 pro	61
incar	M10	72
IKON	IK-WT028i	21
OUKITEL	G2	59
ZTE	ZTE Blade A7 2019RU	14
Smart Products Connection SA	GRAVITY 5 PRO	51
Symphony	i96	24
Fortune Ship	TAB X8	7
Smart_Products_Connection_SA	PET_11080-F628S	5
Compaq	QTab10_LTE	6
Mobicel	IX-1	2
SANSUNG	SM-G930F	3
Symphony	i67	1
vivo	VIVO Y12	4
AEK	XS24Pro	1
D08	D08	1
samsung	SM-C5560	1
motorola	moto e20	21560
samsung	SM-F731U1	700
OPPO	CPH2711	7043
HUAWEI	EVE-LX9N	1153
OPPO	CPH1859	1892
samsung	SM-J600G	3571
Xiaomi	220733SG	1593
Google	HPE device	1670
samsung	SM-N976N	1904
DEERTiME	E15_US	389
samsung	SM-F711N	987
vivo	V2116	4846
Chinoe	A70 Pro	49
samsung	SM-J400M	682
vivo	vivo Y97	250
Symphony	Z25	67
hena	EM101A	38
Along	T10M	275
HENA	EXO_Wave_i726	178
TCL	6159K	457
SHARP	SHG02	118
A-gold	BV9500Plus	31
Sparx	Sparx Neo 8i	185
OPPO	PJV110	194
Teclast	P50_EEA	171
LGE	X5-LG	46
motorola	moto g play (2021)	40
LAVA	LAVA Z3 UP	128
I14 Pro Max	pop	1
WALTON	NEXG_N10	13
Symphony	Atom3	34
Xiaomi	24040RA98R	31
QYJ	P500PRO	1
incar	T10W2	13
WALTON	Primo HM7	15
Sigma_mobile	X_style_Tab_A1010	13
Relndoo	T618	18
incar	xs9	6
alps	A08	10
Ulefone	Note 12P	3
PHILIPS	PHILIPS S6310	1
PROLECH	PlatinumTAB11_4G	4
HUAWEI	DMG-W00	1
ZTE	Z6250CC	4
incar	hoco_HI12	5
incar	T6	2
Teclast	M50-EEA	256
Xiaomi	21091116UG	7286
INFINIX MOBILITY LIMITED	Infinix X6816D	3554
samsung	SM-N981U	3391
HMD Global	Nokia G21	3684
UMIDIGI	UMIDIGI G100A	12
NUU	T0805L	408
incar	Vankyo_S10	10
Xiaomi	M2006C3LI	4788
realme	RMX3990	2379
TECNO MOBILE LIMITED	TECNO BD4a	1351
HMD Global	Nokia 3.4	739
Blackview	Tab A6 Kids	2569
Welcome	C37 Ultra	368
Chinoe	2305003M	58
OUKITEL	C53	438
incar	M40 Plus_ROW	150
vivo	V2145	183
samsung	SM-A2360	50
UMIDIGI	MT13	283
ZUUM	ZUUM PAD Kids	8
VGKE	H30	23
skythtek	T804	143
General Mobile	G512	218
HOTWAV	Note 13	239
Biegedy	B29_US	8
blackshark	SHARK PAR-A0	19
wotronics	AZIMUT_4_LITE	171
Xiaomi	23113RKC6C	31
alps	pro15	90
samsung	SM-A920X	31
coolpad	2042	13
TECNO	TECNO KI5qs	97
KRIP	K57	5
HTC	HTC U20 5G	40
Casper	Casper_S38	6
alps	Spark 10 Pro	15
RAVOZ	RAVOZ V8	13
Teclast	M30	28
Welcome	S21+ Ultra	1
Sony	SGP611	20
TABI	BYBDK	14
TCL	5048Y	57
KYOCERA	KYT34	4
G-TiDE	Klap_S1	6
TCL	8491X_TR	12
Hisense	Hisense Rocks 6	8
POPO	P15	5
Innovatech	ACHYMOO_3	6
HONOR	KOZ-AL40	3
MarkaTab	Speadtrum	2
DOOGEE	N20Pro	3
Multilaser	Multilaser_H_5G	2
CM8200plus	CM8200plus	1
LeMobile	Le X526	1
INFINIX	Infinix X6728B	1
samsung	SM-G960U	8002
samsung	SM-A720F	2700
motorola	moto g(6) plus	2615
samsung	SM-A546B	45636
TECNO	TECNO KI5k	18917
samsung	SM-A156U1	6186
motorola	moto g stylus (2021)	1621
samsung	SM-F926U	1142
Xiaomi	22101316UP	3124
OnePlus	HD1901	3886
General Mobile	G310	530
samsung	SM-T515	7611
realme	RMX3197	2390
ZTE	ZTE 7160N	534
LGE	LM-K525	757
vivo	V2061	7090
Ulefone	Armor X7 Pro	131
INFINIX	Infinix X676B	2760
LENOVO	Lenovo TB-J607Z	1779
SHARP	SHG05	421
vivo	vivo 1816	138
BLU	B1660V	246
bq	Aquaris X2 Pro	6
HUAWEI	JNY-LX2	1268
HUAWEI	BND-L21	2058
HUAWEI	POT-LX3	212
SVITOO	P10	325
incar	KT1001	128
Xiaomi	M2007J17G	4211
sprd	T12	8
TCL	8092	326
HUAWEI	RNE-L23	34
wheatek	DT1 Lite	4
Micromax	IN1	82
Xiaomi	Redmi Note 3	150
i15 Pro	i15 Pro	755
Casper	VIA M35	188
HUAWEI	KOB2-L09	283
Paitanry	SSK10	14
Teclast	M50Plus_ROW	90
incar	M102	5
ACE France	BUZZ 4 Note	5
TCL	9309X2_TR	20
Cherry_Mobile	Flare S8	9
Quantum	Qrash	8
WIKO	W-K610-FRA	9
Google	W2	1
OPPO	OPD2401	4
OPPO	PELM00	1
hena	UpadProS_4G	3
myPhone	Hammer_Energy_2	2
lava	LAVA LZG01	1
ATEAM	GL-KID06	1
samsung	SM-A125F	57297
HONOR	HEY-W09	11432
samsung	SM-A156W	2094
realme	RMX3938	40733
samsung	SM-A136B	9375
BOE	100146660	4638
vivo	V2312	29831
samsung	SM-S926U1	2483
vivo	V2419	20486
Micromax	IN_2b	377
TCL	T433D	313
samsung	SM-G985F	9847
DIALN PRODUCTS INC	X10 Pulse	86
samsung	SM-J730F	1907
OnePlus	BE2013	381
INFINIX	Infinix X6832	1639
HUAWEI	COL-L29	7529
Reeder	S19 Max 64GB	615
OPPO	A303OP	1039
LAVA	LZX415	953
TCL	9029G	24
HUAWEI	BLA-L09	751
TECNO MOBILE LIMITED	TECNO CG8h	201
samsung	SM-N970U	1222
HUAWEI	BLL-L21	371
TCL	5029E	96
NEC	LAVIE Tab T12 12QHD1	92
OPPO	CPH2305	902
motorola	moto e22s	67
asus	P008	5
ALPHAWOLF	A2	43
vivo	V2065A	11
EXCEED	EX10W1	79
Vios	VI65PB1401NA	234
Blackview	BV5300 Pro	685
samsung	SM-T737	81
hoco.	A9PRO	83
HMD Global	N1374DL	82
SEGO	S_PAD	3
Maxwest	Nitro 8	31
EVERPAD	EW2010	38
incar	T700	57
Premio	X85 PRO	29
HOTWAV	TAB R10 Pro	15
Hisense	Hisense Infinity H40 Rock	1
DT	Pad5pro	15
samsung	SAMSUNG-SM-G891A	5
skythtek	Pixus_Arena	23
incar	P21-wifi	11
HTC	HTC 10	11
BLU	G52L	4
M-KOPA	S34	12
Deejoy	K103B	84
Pad7Pro	Pad7Pro	8
LENOVO	LIFETAB E1053X	46
S90	S90	9
QQO	PA15	1
HUAWEI	FIG-LX2	21
Teclast	M40S_EEA	2
KONROW	K-TAB801	2
Hyundai	8LAB1	3
LENOVO	Lenovo TB128FU	17432
samsung	SM-P620	17685
samsung	SM-G981B	3916
incar	H2	103
HONOR	AGM3-AL09HN	12317
realme	RMX3660	5100
Xiaomi	M2010J19SG	12413
vivo	V2129	1872
samsung	SM-J400F	2501
wheatek	WP36	616
OTEETO	K9	52
Xiaomi	POCO F1	1651
TCL	9461G	331
TCL	T701DL	187
MyTab pro	My-10-13-1	103
TCL	8491X	176
Hometech	Alfa 11 BT	569
revoview	A55	303
TCL	T782P	123
HMD Global	Nokia 9	13
incar	OT6	90
Oangcc	X500_T_US	59
HONOR	FNE-AN00	63
samsung	SM-N9208	7
VANWIN	pro13	9
samsung	SM-J530FM	384
OUKITEL	WP18	65
HUAWEI	PRA-TL10	347
Apolosign	EP103B	18
samsung	SM-G6100	112
Masstel	Masstel_Tab_82	13
OSCAL	Pad 60 Kids	13
Umx	P550	9
HAFURY	V1	24
Freeyond	2308011M	55
TECLAST	P40HD_ROW	14
samsung	SM-G715W	42
HUAWEI	BND-L34	47
alps	i15 Pro Max	56
Sigma_mobile	X-Style_S5502	2
QMobile	E2 Noir	3
Z104PRO	Z104PRO	8
Acer	M10-12_EEA	8
Skyth	F1036	3
PAWBO	PAWBO	8
alps	X19Life	1
samsung	SM-A025AZ	21
M10Plus	M10Plus	2
TCL	5048I	6
manufacturer	M19	6
motorola	REVVLRY+	4
alps	KT700 Pro	3
WOZIFAN	W10_T_EEA	13
KTE	x20960_5m_wxga_v1_097	4
Trident	A23 Max	1
INFINIX	Infinix X6855	2907
HONOR	CLK-NX3	330
Xiaomi	2107113SG	13600
realme	RMX2001	10861
realme	RMX3780	8232
OPPO	CPH2121	6199
TCL	T430M	170
samsung	SM-J530Y	99
motorola	motorola edge 20 pro	2572
OPPO	CPH1979	1348
vivo	VIVO S1	1364
samsung	SM-X900	2624
Google	Pixel 3a	2953
Sony	SO-52E	1909
TCL	T607DL	1223
samsung	SM-A505GN	1071
vivo	V2412	1561
OPPO	PEGM00	129
TECNO MOBILE LIMITED	TECNO CH6n	1861
FIH	EC211001	653
OPPO	CPH2437	533
Blackview	A53	29
Ulefone	Power Armor14 Pro	55
samsung	SM-T597P	110
rockchip	rk3399-all	153
motorola	motorola edge plus (2022)	295
UMIDIGI	PA2310GBB	82
incar	IX1011	7
TECHNOPC	UP10_SH36LAG	205
reeder	M11_Pro_Max	89
Vestel	Venus Z40	156
Achate	Kids_Tab_2	18
NEC	PC-TE510JAW	17
SMART PRODUCTS CONNECTION SA	GRAVITY_5_EEA	8
HMD Global	HMD ARC	69
DIGMA	8305C 4G TS8289PL	123
DOOGEE	S41 Plus	83
DIGMA	PRO 1800F 4G RS1249PL	30
skythtek	Tab_C10Pro	12
HTC	HTC Desire 20 Pro	55
E24	E24	20
Sony	J8110	91
skythtek	ARCHOS T101HD3 WiFi	3
ZIOVO	Z168_U_EEA	38
Logicom	EZY	9
OPPO	CPH1833	55
LT	LT C3100	4
WS	WS-T01	1
Cherry Mobile	Superion Tab Pro	1
Smartx	S16MAX	4
Mightier	MT003-21	6
HUAWEI	LIO-N29	3
CUBOT	Tab S9	6
TOPSAND	M8	7
incar	S15	3
Max Tel FZE	X1	6
GIONEE	F6Pro	1
DIGMA_PRO	Empire TA3E2M01	1
samsung	SM-S908B	18146
Kalley	Black_Z	334
motorola	moto e22	14695
samsung	SM-A356B	36762
samsung	SM-A205FN	4797
vivo	V2025	7928
OPPO	CPH2553	10733
HUAWEI	JSN-L21	16245
HMD Global	Nokia C12	955
samsung	SC-53C	1707
motorola	motorola edge 50s pro	805
HMD Global	HMD CREST MAX	711
vivo	V2047	137
TECNO MOBILE LIMITED	TECNO KD7	2178
Plimpton	Kids20	2083
JOYAR	100011885	252
samsung	SM-G610Y	87
samsung	SM-T377W	18
VILLAON	VILLAON V6751L	181
WALTON	ORBIT Y21	20
Blackview	BV8100	34
ZTE	nubia 8550	13
Ulefone	Armor 8	400
AngelTech	P80	173
OPPO	CPH2275	54
samsung	SM-N9700	147
OPPO	PCKM00	16
INOI	A171_Plus	27
UMIDIGI	UMIDIGI G9 5G	29
S24	S24	77
Teclast	T70_ROW	50
INFINIX MOBILITY LIMITED	Infinix X658E	86
alps	P1	29
UNISOC	X95	17
vivo	iPA2451	43
SHARP	SHG04	25
TCL	8088X_EEA	16
ZTE	ZTE BLADE V0800	27
Lanix	Ilium_PAD_RX10V6	15
samsung	SM-N910H	36
alps	M91	12
HEADWOLF	W6B	7
ANT DAO TECHNOLOGY LIMITED	Raptor LTD	2
LT_mobile	LT C26	5
Prestigio	PMT3161_3G	4
Droi	UMIDIGI X	7
Infinix	Infinix HOT 4 Pro	6
Hisense	Hisense Infinity H11	6
LGE	LG-H870I	3
SHARP	701SH	2
incar	AOYODKG_A38	3
incar	P101-EEA	1
OPPO	PDEM10	2
POPO	P11	1
Teclast	S25 Ultra	2
Mobicel	Q10	2
realme	RMX3910	10637
samsung	SM-T719	486
OPPO	OPPO A57	342
Xiaomi	23076RN4BI	28405
samsung	SM-S918N	1600
samsung	SM-A146M	16838
realme	RMX3195	19161
samsung	SM-N960N	2520
General Mobile	G501	782
INFINIX MOBILITY LIMITED	Infinix X657B	6807
incar	OT6 Kids	719
Exceed	E22	191
BDF	BDF	9
B86	B86	379
samsung	SM-N9600	810
Plimpton	PlimPad P3	17
Iproda	KATB1064CGRY	186
wheatek	WP15	174
Blackview	Tab 11	1898
nubia	NX709S	73
incar	M50Plus	106
TECNO MOBILE LIMITED	TECNO BD2p	81
vivo	V2012A	10
motorola	motorola razr 40	200
Mobicel	F41	58
TCL	T442A	281
samsung	SM-M346B2	1196
vivo	V2147	515
Coosea	One	6
UMIDIGI	MP33	266
General Mobile	G518	130
incar	T84G_T310_332	7
Philco	Hit P12	262
HTC	HTC Desire 20+	88
vivo	V2337A	10
asus	ASUS_Z01FD	74
skythtek	ENVT1081P0BR	43
IrisGuard_UK_Ltd	IG-EP100	1
DIGMA	Digma Pro HIT 104 HS1005PL	46
ZTE	902ZT	35
Pro	Pro	7
Fairphone	FP4	123
SIGMA MOBILE	Tab A1020	79
B024	B024	3
FISE	TONE_e21	10
HUAWEI	BLN-AL10	32
Bmobile	BL53_TG06	47
LGE	LG-M710	17
benco	AF9020	3
TECNO	TECNO KL8s	14
G2000	G2000	3
blackshark	SHARK KSR-H0	24
nubia	NX595J	12
OPPO	PJJ110	6
asus	ASUS_X00RD	2
YESTEL	T15_EEA	1
QMobile	Hot 5	2
vivo	vivo 2015_21	4
alps	F11	5
Meizu	M3s	2
HOTWAV	Note 16	48
Xiaomi	2409BRN2CY	60472
samsung	SM-T307U	4910
Xiaomi	M2007J20CG	26256
OPPO	CPH2235	8314
OPPO	CPH2599	12231
samsung	SM-T830	4606
ALT	AT-M150	138
Sparx	Sparx Neo 8 Plus	678
HUAWEI	INE-LX1r	1514
samsung	SM-T585	5373
motorola	motorola one hyper	2371
OnePlus	CPH2661	5777
samsung	SM-A705F	503
Xiaomi	MI PLAY	44
HUAWEI	FRD-AL10	4
Nothing	A142P	1458
BLU	M10L	103
samsung	SM-T819	756
ZIOVO	Z138_US	798
incar	K708	917
vivo	V1934A	76
Acer	P11-11	475
realme	RMX3203	191
KENSHI	E12	439
Multilaser	M9_WIFI	187
vivo	vivo Y91	46
JOYAR	100092980	376
skythtek	P11	89
UMIDIGI	MP27	52
KOMI	Royal_RS2	8
ATMACA	SN10064	185
OUKITEL	RT3	193
Fplus	T1100	105
samsung	SM-T595N	1231
HEADWOLF	W6	313
DOOGEE	S100	81
Masstel	Masstel_Tab_10S	27
BRAVE	T2Max	55
OUKITEL	C65	30
N-one	NpadS	61
Teclast	P30Air_ROW	77
incar	S7	2
AGM	AGM_PAD_P2W	84
OPPO	CPH2331	52
CHUWI	HiPad XPro	57
ZTE	Z2473	34
alps	S24Ultra	59
XGODY	K800Y	10
Innovatech	C8X	1
mediacom	1AZ2P	3
iBRIT	MAX7pro	14
Gplus	GTV-65PU750CN	2
Hena	RATR31024	2
TECNO MOBILE	TECNO Mobile CI8n	1
alps	WO 8 Ultra	3
TCL	8094X_TR	1
AC	CM813Pro	1
motorola	moto e13	22296
OPPO	CPH2179	23795
samsung	SM-A315G	16191
Sony	SOV36	689
motorola	motorola edge 60 fusion	6706
INFINIX	Infinix X6835B	10353
Sony	SOG08	1842
vivo	V2339	12860
ZTE	K92	13
OPPO	CPH1943	1043
samsung	SM-T827V	108
samsung	SM-A716V	1253
vivo	V2419A	257
Apolosign	K109_Pro	490
vivo	V2321	6595
samsung	SM-G9550	192
FOSSiBOT	S2	222
vivo	V2114	255
samsung	SM-T815Y	46
samsung	SM-A536U1	1018
vivo	vivo 1726	1044
Xiaomi	22081281AC	220
Tinno	Celero3 5G+	287
motorola	Moto E (4)	18
samsung	SM-E166P	873
vivo	V2301A	9
BullittGroupLimited	S61	6
LAVA	LAVA LZX408	542
MOBIWIRE	A60UNS	183
TCL	T767H	951
Fortune Ship	Hidra Plus	87
Foxx Development Inc	FOXXD HTH C67	5
NUU	T1005L	7
GIONEE	GIONEE_MAX Pro	4
LENOVO	Lenovo TB-X6C6L	79
STE Electronics CO	S9	119
alps	S18	94
OPPO	PCAM10	20
reeder	P13_Blue_Plus_2022	91
TCL	T613K	278
INFINIX MOBILITY LIMITED	Infinix X606C	33
samsung	SM-A510M	89
incar	TPC-G1011LTE	38
UMIDIGI	MT08	12
Symphony	ATOM	6
A15 PRO	A15 PRO	23
ZTE	ZTE A2017	4
alps	L24 Ultra	16
HUAWEI	FRH-L22	4
asus	ASUS_AI2401_A	10
Acer	ET-108-11A	2
asus	ASUS_I001DA	6
PAD2PLUS	PAD2PLUS	4
SHARP	SH-54E	1
Sony	SGP621	6
SPA Condor Electronics	GT60 PRO	10
TCL	T781SPP	3
OPPO	PFEM10	1
TCL	5029D_EEA	2
alps	Digit4G RedOne	1
Skyth	Z138-EEA	149
realme	RMX3997	20793
OnePlus	DE2117	1039
samsung	SM-S916U	11020
OPPO	CPH1933	12419
samsung	SM-A750GN	1708
realme	RMX3627	7963
OPPO	CPH2525	4794
samsung	SM-A256U	3364
vivo	V2509	860
samsung	SM-S938U1	2332
HDC	T10I-4128	201
Xiaomi	M2103K19Y	2875
TECNO MOBILE LIMITED	TECNO KG6p	507
TECNO MOBILE LIMITED	TECNO CH9n	246
SHARP	A201SH	229
samsung	SAMSUNG-SM-G930A	187
LGE	LM-K920	401
Sony	XQ-BQ72	115
WIKO	WIKO T10	792
OPPO	CPH2037	167
BLACK_SHARK	Pad6	35
Sony	G3226	32
incar	VT821611	22
incar	Fenix_T10	9
Bmobile	BL65_OM	2
HONOR	PTP-N29	5
samsung	SM-A705X	2
Elephone	E10_Pro	14
incar	AWOW_CreaPad_1003	3
Premio	S55	1
samsung	SM-N920R4	3
Kalley	Silver Max Pro	5
P6sPro	P6sPro	1
Xiaomi	V816.0.3.0.UNRTWMC	1
HONOR	ALT-NX3	4313
vivo	V2222	7725
Xiaomi	21121210G	1506
Sony	XQ-DC44	180
INFINIX	Infinix X6823	739
Google	strongbad	1466
Xiaomi	24115RA8EI	1685
vivo	I2219	5995
samsung	SM-A920N	273
Teclast	T50Plus_T_EEA	215
Xiaomi	2312DRAABC	875
SkyDevices	Elite D65	26
vivo	vivo Y81S	846
HUAWEI	AGS3-L09	185
Acer	A8-11	147
TCL	5061A	146
OPPO	CPH1877	481
HUAWEI	BAH2-L09	1899
samsung	SM-G925F	689
incar	X7	18
TECNO MOBILE LIMITED	TECNO KC1	19
LGE	LM-V600	1034
JOYAR	100071483A	201
samsung	SM-S9380	274
HUAWEI	KOB-W09	13
SOHO_STYLE	SS5724G	13
ITEL	itel A507LVU	196
GIONEE	X1S	1
HEADWOLF	F7	24
WALTON	Orbit Y50	27
magcomm	dbx	26
N-one	NpadY1	67
Teclast	T50Pro_W_EEA	745
Tinno	IX_PLUS	110
DOOGEE	N40Pro	180
HUAWEI	WAS-TL10	45
incar	Npad-Pro	93
SPA Condor Electronics	NOVA60 i	40
BLU	G50 Plus	2
TECNO	TECNO CL9	162
p50	p50	85
Meizu	Meizu M6s	4
DOOGEE	T40	90
Techvision	T4	26
LGE	LG-LS777	12
HUAWEI	ICL-LX9	30
BAIWOYER	K110	1
incar	MAYA	7
HXY	DIJITSU_Smart_A11s	57
HUAWEI	MAR-LX2B	47
realme	RMX3125	13
Hometech	Alfa10LA	3
deejoy	Tab_X2	7
naomicase	N4MAX	1
OPPO	PEMM00	6
TCL	T609L	11
HONOR	DIO-AN00	2
SUGAR	SUGAR S50	6
OPPO	PGU110	2
TablePC	Y105-P60	4
Spider	Spider_M10Pro	1
